Date,Open,Close,Low,High
01/01/2015,438.57,439.84,437.93,441.87
02/01/2015,440.21,438.62,437.83,443.78
05/01/2015,438.6,434.41,433.52,441.25
06/01/2015,431.89,414.11,412.13,431.89
07/01/2015,415.4,423.67,414.65,425.35
08/01/2015,425.87,417.45,416.88,427.41
09/01/2015,419.09,426.17,418.57,427.18
12/01/2015,427.18,421.26,417.2,427.43
13/01/2015,422.35,417.55,416.36,423.2
14/01/2015,417.57,413.59,411.63,419.46
15/01/2015,416.66,428.22,416.58,431
16/01/2015,426.44,430.4,422.06,432.9
19/01/2015,430.9,435.78,425.47,438.7
20/01/2015,437.24,446.33,435.16,447.61
21/01/2015,447.74,448.06,441.94,450.31
22/01/2015,448.33,437.88,435.53,449.2
23/01/2015,440.8,439.29,434.59,444.22
27/01/2015,440.9,440.18,436.3,444.22
28/01/2015,438.38,448.65,438.33,450.59
29/01/2015,448.73,459.57,446.75,462.72
30/01/2015,460.64,453.36,450.71,461.61
02/02/2015,453.26,449.67,448.73,455.34
03/02/2015,451.95,464.3,451.35,465.67
04/02/2015,465.27,459.97,458.49,467.1
05/02/2015,461.85,456.83,454.75,464.87
06/02/2015,458.49,450.93,447.74,460.69
09/02/2015,447.24,444.42,441.77,453.53
10/02/2015,441.79,437.19,427.13,448.23
11/02/2015,438.33,446.23,437.66,447.84
12/02/2015,448.9,450.93,439.47,453.19
13/02/2015,453.19,454.28,450.54,455.66
16/02/2015,455.66,447.07,445.78,457.62
18/02/2015,445.76,446.47,443.3,449.72
19/02/2015,448.23,446.43,439.59,449.3
20/02/2015,444.27,432.51,431.89,444.27
23/02/2015,430.8,421.56,419.33,434.07
24/02/2015,422.48,416.91,414.6,424.56
25/02/2015,419.51,417.8,416.83,424.16
26/02/2015,419.04,417.15,414.6,420.99
27/02/2015,419.09,423.79,418.32,426.19
28/02/2015,426.84,429.04,419.51,430.11
02/03/2015,430.82,427.78,424.04,433.67
03/03/2015,430.9,446.57,429.61,448.98
04/03/2015,448.23,439.29,436.05,450.21
05/03/2015,441.3,438.03,435.6,444.96
09/03/2015,437.83,430.23,428.03,441.7
10/03/2015,430.9,425.5,423.67,433.32
11/03/2015,425.95,423.89,422.58,430.65
12/03/2015,425.95,427.8,423.74,429.02
13/03/2015,430.4,421.07,419.51,430.87
16/03/2015,422.97,417.05,416.53,422.97
17/03/2015,420.08,424.38,416.53,425.85
18/03/2015,424.95,430.28,423.47,432.33
19/03/2015,433.37,424.09,422.03,433.87
20/03/2015,424.01,423.12,420.42,426.44
23/03/2015,424.14,417.15,415.1,427.65
24/03/2015,417.25,420.4,417.05,423.2
25/03/2015,421.24,418.37,416.11,421.24
26/03/2015,416.71,411.38,408.39,420.37
27/03/2015,412.37,402.05,396.97,413.64
30/03/2015,404.15,401.35,394.62,405.14
31/03/2015,404.2,408.46,404.2,412.1
01/04/2015,408.59,413.34,403.16,415.05
06/04/2015,413.71,408.11,406.85,415.02
07/04/2015,408.66,412.47,408.66,414.01
08/04/2015,414.06,428.67,412.57,430.48
09/04/2015,428.97,443.26,425.95,445.21
10/04/2015,443.28,447.56,440.31,449.07
13/04/2015,449.92,456.85,445.06,458.14
15/04/2015,456.11,457.52,449.52,465.27
16/04/2015,458.71,459.35,455.17,464.38
17/04/2015,463.29,459.05,457.22,467.45
20/04/2015,463.86,438.6,435.23,464.55
21/04/2015,439.81,433.82,432.11,443.3
22/04/2015,436.15,435.8,429.71,439.12
23/04/2015,438.15,434.36,430.53,440.75
24/04/2015,434.29,435.55,430.11,437.81
27/04/2015,436.35,433.15,431.39,439.57
28/04/2015,433.37,428.42,425.95,436.72
29/04/2015,427.63,421.61,420.15,431.37
30/04/2015,421.83,427.36,420.25,428.87
04/05/2015,429.41,441.03,426.54,442.41
05/05/2015,442.29,441.25,438.33,446.62
06/05/2015,441.32,435.48,431.89,443.97
07/05/2015,434.51,430.6,425.95,435.36
08/05/2015,431.39,440.75,427.73,442.49
11/05/2015,441.79,443.65,437.44,445.24
12/05/2015,443.28,430.08,428.55,443.28
13/05/2015,433.37,438.23,424.91,440.31
14/05/2015,436.97,435.11,431.39,438.82
15/05/2015,436.49,432.85,431.49,439.02
18/05/2015,433.97,441.05,432.38,441.84
19/05/2015,441.79,443.53,439.37,448.21
20/05/2015,445.76,449.42,445.21,450.46
21/05/2015,450.83,444.22,442.78,453.43
22/05/2015,444.37,447.07,444.27,448.13
25/05/2015,446.43,442.88,441.89,449.52
26/05/2015,443.53,438.15,437.44,444.02
27/05/2015,437.88,439.29,436.22,441.2
28/05/2015,439.27,434.24,432.58,442.78
29/05/2015,435.6,434.44,432.88,439.07
01/06/2015,434.36,446.43,434.36,447.74
